Date,Transport_Type,Total_Ridership,Percent_compared_to_pre_pandemic_day
2020-12-29,Subways,1555198,29
2020-12-30,Subways,1582486,30
2020-12-31,Subways,1274984,24
2021-01-01,Subways,613692,29
2021-01-02,Subways,988418,37
2021-01-03,Subways,653187,31
2021-01-04,Subways,1557977,30
2021-01-05,Subways,1597518,31
2021-01-06,Subways,1613629,31
2021-01-07,Subways,1611099,31
2021-01-08,Subways,1619242,31
2021-01-09,Subways,990412,37
2021-01-10,Subways,763097,36
2021-01-11,Subways,1568207,30
2021-01-12,Subways,1640428,32
2021-01-13,Subways,1641652,32
2021-01-14,Subways,1647396,32
2021-01-15,Subways,1627120,32
2021-01-16,Subways,991500,37
2021-01-17,Subways,797654,38
2021-01-18,Subways,1276978,61
2021-01-19,Subways,1635915,32
2021-01-20,Subways,1575075,31
2021-01-21,Subways,1652842,32
2021-01-22,Subways,1672001,33
2021-01-23,Subways,997551,37
2021-01-24,Subways,741139,35
2021-01-25,Subways,1592468,31
2021-01-26,Subways,1550953,30
2021-01-27,Subways,1660278,32
2021-01-28,Subways,1646806,32
2021-01-29,Subways,1511680,29
2021-01-30,Subways,942615,35
2021-01-31,Subways,722853,35
2021-02-01,Subways,583230,11
2021-02-02,Subways,1005985,19
2021-02-03,Subways,1702598,31
2021-02-04,Subways,1785833,33
2021-02-05,Subways,1741015,32
2021-02-06,Subways,1148477,40
2021-02-07,Subways,652521,30
2021-02-08,Subways,1639753,30
2021-02-09,Subways,1666467,31
2021-02-10,Subways,1750121,32
2021-02-11,Subways,1714656,32
2021-02-12,Subways,1706430,31
2021-02-13,Subways,1092063,38
2021-02-14,Subways,858014,39
2021-02-15,Subways,1218593,56
2021-02-16,Subways,1627528,30
2021-02-17,Subways,1733160,32
2021-02-18,Subways,1381886,25
2021-02-19,Subways,1566021,29
2021-02-20,Subways,1110589,39
2021-02-21,Subways,836095,38
2021-02-22,Subways,1582054,29
2021-02-23,Subways,1730198,32
2021-02-24,Subways,1806306,33
2021-02-25,Subways,1798165,33
2021-02-26,Subways,1822812,34
2021-02-27,Subways,1072932,37
2021-02-28,Subways,810071,37
2021-03-01,Subways,1696274,30
2021-03-02,Subways,1749511,31
2021-03-03,Subways,1846431,33
2021-03-04,Subways,1808744,32
2021-03-05,Subways,1825915,33
2021-03-06,Subways,1167884,38
2021-03-07,Subways,894119,39
2021-03-08,Subways,1719586,31
2021-03-09,Subways,1834068,33
2021-03-10,Subways,1849077,33
2021-03-11,Subways,1881902,34
2021-03-12,Subways,1914465,34
2021-03-13,Subways,1257372,41
2021-03-14,Subways,923968,40
2021-03-15,Subways,1730024,31
2021-03-16,Subways,1798288,32
2021-03-17,Subways,1866414,34
2021-03-18,Subways,1771092,32
2021-03-19,Subways,1906749,34
2021-03-20,Subways,1307403,43
2021-03-21,Subways,1013386,44
2021-03-22,Subways,1801438,32
2021-03-23,Subways,1879574,34
2021-03-24,Subways,1828084,33
2021-03-25,Subways,1925768,35
2021-03-26,Subways,1938246,35
2021-03-27,Subways,1374266,45
2021-03-28,Subways,807247,35
2021-03-29,Subways,1742162,31
2021-03-30,Subways,1881537,34
2021-03-31,Subways,1808546,32
2021-04-01,Subways,1841815,33
2021-04-02,Subways,1757698,32
2021-04-03,Subways,1318461,42
2021-04-04,Subways,950194,39
2021-04-05,Subways,1818703,33
2021-04-06,Subways,1942198,35
2021-04-07,Subways,1985370,36
2021-04-08,Subways,2013413,36
2021-04-09,Subways,2026724,36
2021-04-10,Subways,1391245,44
2021-04-11,Subways,899646,37
2021-04-12,Subways,1845836,33
2021-04-13,Subways,2012153,36
2021-04-14,Subways,2018126,36
2021-04-15,Subways,1906733,34
2021-04-16,Subways,2078856,37
2021-04-17,Subways,1425036,45
2021-04-18,Subways,1082503,45
2021-04-19,Subways,1911326,34
2021-04-20,Subways,2082495,37
2021-04-21,Subways,1965922,35
2021-04-22,Subways,2040232,37
2021-04-23,Subways,2121350,38
2021-04-24,Subways,1520057,48
2021-04-25,Subways,985027,41
2021-04-26,Subways,1955370,35
2021-04-27,Subways,2041698,37
2021-04-28,Subways,2135793,38
2021-04-29,Subways,2028524,36
2021-04-30,Subways,2159476,39
2021-05-01,Subways,1515211,47
2021-05-02,Subways,1153471,48
2021-05-03,Subways,1971010,34
2021-05-04,Subways,2120071,37
2021-05-05,Subways,2074543,36
2021-05-06,Subways,2199943,38
2021-05-07,Subways,2238033,39
2021-05-08,Subways,1444674,45
2021-05-09,Subways,1107878,46
2021-05-10,Subways,1990039,35
2021-05-11,Subways,2148322,38
2021-05-12,Subways,2182277,38
2021-05-13,Subways,2163052,38
2021-05-14,Subways,2266974,40
2021-05-15,Subways,1637231,51
2021-05-16,Subways,1201904,50
2021-05-17,Subways,2022584,35
2021-05-18,Subways,2150049,38
2021-05-19,Subways,2257549,39
2021-05-20,Subways,2269471,40
2021-05-21,Subways,2331876,41
2021-05-22,Subways,1645268,51
2021-05-23,Subways,1268928,53
2021-05-24,Subways,2118877,37
2021-05-25,Subways,2270945,40
2021-05-26,Subways,2275882,40
2021-05-27,Subways,2352019,41
2021-05-28,Subways,2232599,39
2021-05-29,Subways,1370135,43
2021-05-30,Subways,1065176,45
2021-05-31,Subways,1389651,58
2021-06-01,Subways,2258831,40
2021-06-02,Subways,2343745,42
2021-06-03,Subways,2233917,40
2021-06-04,Subways,2310032,41
2021-06-05,Subways,1792204,56
2021-06-06,Subways,1363344,52
2021-06-07,Subways,2223265,40
2021-06-08,Subways,2265591,40
2021-06-09,Subways,2386026,43
2021-06-10,Subways,2473818,44
2021-06-11,Subways,2468258,44
2021-06-12,Subways,1775538,55
2021-06-13,Subways,1379959,53
2021-06-14,Subways,2223186,40
2021-06-15,Subways,2469785,44
2021-06-16,Subways,2519444,45
2021-06-17,Subways,2552497,46
2021-06-18,Subways,2572013,98
2021-06-19,Subways,1784312,55
2021-06-20,Subways,1389352,53
2021-06-21,Subways,2264368,40
2021-06-22,Subways,2354873,42
2021-06-23,Subways,2547416,45
2021-06-24,Subways,2552639,46
2021-06-25,Subways,2582713,46
2021-06-26,Subways,1854179,58
2021-06-27,Subways,1559967,60
2021-06-28,Subways,2252362,40
2021-06-29,Subways,2343739,42
2021-06-30,Subways,2346388,42
2021-07-01,Subways,2292461,43
2021-07-02,Subways,2296044,43
2021-07-03,Subways,1541988,55
2021-07-04,Subways,1468510,63
2021-07-05,Subways,1495709,64
2021-07-06,Subways,2302002,44
2021-07-07,Subways,2437064,46
2021-07-08,Subways,2364250,45
2021-07-09,Subways,2318387,44
2021-07-10,Subways,1781717,63
2021-07-11,Subways,1365854,58
2021-07-12,Subways,2245412,43
2021-07-13,Subways,2457526,47
2021-07-14,Subways,2517615,48
2021-07-15,Subways,2581582,49
2021-07-16,Subways,2536569,48
2021-07-17,Subways,1717480,61
2021-07-18,Subways,1405344,60
2021-07-19,Subways,2327756,44
2021-07-20,Subways,2462002,47
2021-07-21,Subways,2504568,47
2021-07-22,Subways,2582151,49
2021-07-23,Subways,2552330,48
2021-07-24,Subways,1852402,66
2021-07-25,Subways,1364830,58
2021-07-26,Subways,2318455,44
2021-07-27,Subways,2487947,47
2021-07-28,Subways,2534756,48
2021-07-29,Subways,2428764,46
2021-07-30,Subways,2557677,48
2021-07-31,Subways,1841007,65
2021-08-01,Subways,1351294,57
2021-08-02,Subways,2333923,45
2021-08-03,Subways,2483802,48
2021-08-04,Subways,2529002,49
2021-08-05,Subways,2529190,49
2021-08-06,Subways,2519444,49
2021-08-07,Subways,1780458,61
2021-08-08,Subways,1333885,56
2021-08-09,Subways,2289434,45
2021-08-10,Subways,2442194,48
2021-08-11,Subways,2475949,48
2021-08-12,Subways,2448589,48
2021-08-13,Subways,2430102,47
2021-08-14,Subways,1718222,58
2021-08-15,Subways,1430620,60
2021-08-16,Subways,2287627,45
2021-08-17,Subways,2427611,47
2021-08-18,Subways,2445638,48
2021-08-19,Subways,2439624,47
2021-08-20,Subways,2456334,48
2021-08-21,Subways,1715030,58
2021-08-22,Subways,745240,31
2021-08-23,Subways,2052669,40
2021-08-24,Subways,2462365,48
2021-08-25,Subways,2498255,49
2021-08-26,Subways,2480137,48
2021-08-27,Subways,2388210,46
2021-08-28,Subways,1659434,56
2021-08-29,Subways,1398566,59
2021-08-30,Subways,2321000,45
2021-08-31,Subways,2532584,49
2021-09-01,Subways,2294448,40
2021-09-02,Subways,1661558,29
2021-09-03,Subways,2390392,41
2021-09-04,Subways,1777639,55
2021-09-05,Subways,1415352,56
2021-09-06,Subways,1521388,60
2021-09-07,Subways,2233674,39
2021-09-08,Subways,2529619,44
2021-09-09,Subways,2702713,47
2021-09-10,Subways,2840443,49
2021-09-11,Subways,1983091,62
2021-09-12,Subways,1589976,62
2021-09-13,Subways,2852796,49
2021-09-14,Subways,3011275,52
2021-09-15,Subways,2987334,52
2021-09-16,Subways,2534545,44
2021-09-17,Subways,3028545,52
2021-09-18,Subways,2014848,63
2021-09-19,Subways,1596823,63
2021-09-20,Subways,2883211,50
2021-09-21,Subways,3018312,52
2021-09-22,Subways,3021113,52
2021-09-23,Subways,3016106,52
2021-09-24,Subways,3121747,54
2021-09-25,Subways,2129492,66
2021-09-26,Subways,1614677,63
2021-09-27,Subways,2873368,50
2021-09-28,Subways,2927715,51
2021-09-29,Subways,3063720,53
2021-09-30,Subways,3146861,55
2021-10-01,Subways,3162881,55
2021-10-02,Subways,2063660,62
2021-10-03,Subways,1575738,64
2021-10-04,Subways,2864349,50
2021-10-05,Subways,3091160,54
2021-10-06,Subways,3140986,55
2021-10-07,Subways,3190747,56
2021-10-08,Subways,3168473,55
2021-10-09,Subways,2052699,62
2021-10-10,Subways,1499385,61
2021-10-11,Subways,2263615,39
2021-10-12,Subways,3102879,54
2021-10-13,Subways,3157457,55
2021-10-14,Subways,3240686,56
2021-10-15,Subways,3227068,56
2021-10-16,Subways,2042027,61
2021-10-17,Subways,1629991,66
2021-10-18,Subways,2982883,52
2021-10-19,Subways,3178208,55
2021-10-20,Subways,3234327,56
2021-10-21,Subways,3267697,57
2021-10-22,Subways,3225816,56
2021-10-23,Subways,2077488,62
2021-10-24,Subways,1599927,65
2021-10-25,Subways,2994936,52
2021-10-26,Subways,2702635,47
2021-10-27,Subways,3300580,57
2021-10-28,Subways,3365971,59
2021-10-29,Subways,3251779,57
2021-10-30,Subways,2044310,61
2021-10-31,Subways,1746769,71
2021-11-01,Subways,3034306,54
2021-11-02,Subways,2848222,51
2021-11-03,Subways,3293732,58
2021-11-04,Subways,3284315,58
2021-11-05,Subways,3293438,58
2021-11-06,Subways,2195864,69
2021-11-07,Subways,1888985,75
2021-11-08,Subways,3065533,54
